Model,AUC,Accuracy,F1,Precision,Recall
Random Forest,0.7535116479723899,0.6813317479191439,0.6666666666666666,0.6118721461187214,0.73224043715847
Logistic Regression,0.747799827437446,0.6801426872770512,0.6707466340269278,0.6075388026607539,0.7486338797814208
XGBoost,0.7227955133735979,0.6325802615933412,0.6622950819672131,0.5519125683060109,0.8278688524590164
